Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,21,2000,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,0,,Matches,0,0,0,4.6,0.25,-0.4,-0.1,10,31,32.3,56,10,37.5,36.8,26,38.5,38.3,35,2,5.7,5,1.25,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
Doğan Alemdar,tr TUR,GK,Rennes,Ligue 1,19,2002,9,9,810,9,11,1.22,22,12,54.5,4,1,4,2,22.2,2,1,1,0,50,Matches,0,0,0,8.6,0.33,-2.4,-0.27,45,118,38.1,237,40,29.5,32.9,57,84.2,57.3,86,3,3.5,11,1.22,15.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,
Alisson,br BRA,GK,Liverpool,Premier League,29,1992,30,30,2700,30,20,0.67,80,60,75,22,6,2,18,60,0,0,0,0,,Matches,0,3,1,23.6,0.3,4.6,0.15,142,279,50.9,1013,164,21,29.6,145,45.5,39.8,188,17,9,48,1.6,17.6,0,1,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01,0,0,5,0,0,0,0,0,0,190,0,0,
Alphonse Areola,fr FRA,GK,West Ham,Premier League,29,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches,0,0,0,1.2,0.39,0.2,0.17,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,27,1994,4,4,360,4,2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,0,,Matches,0,1,0,3.3,0.26,1.3,0.34,16,39,41,118,28,28,30.8,21,28.6,30.2,31,1,3.2,5,1.25,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,
Sergio Asenjo,es ESP,GK,Villarreal,La Liga,32,1989,5,5,450,5,7,1.4,23,17,73.9,2,2,1,0,0,1,1,0,0,0,Matches,0,0,0,7.4,0.28,0.4,0.08,25,61,41,141,30,29.8,32.9,50,38,39,61,4,6.6,6,1.2,14.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,
Emil Audero,it ITA,GK,Sampdoria,Serie A,25,1997,24,24,2115,23.5,42,1.79,105,65,61,6,4,14,4,16.7,1,1,0,0,0,Matches,1,5,1,35,0.33,-6,-0.26,177,403,43.9,621,89,46.2,39.5,169,68.6,49.3,217,19,8.8,9,0.38,13.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.02,0.02,0,0.02,0,0,6,0,0,0,0,0,0,84,0,0,
Daniel Bachmann,at AUT,GK,Watford,Premier League,27,1994,11,11,990,11,26,2.36,61,39,62.3,1,0,10,0,0,3,3,0,0,0,Matches,1,4,2,21.4,0.31,-2.6,-0.23,80,206,38.8,248,40,60.9,47.1,80,68.8,51.5,101,3,3,8,0.73,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,51,0,0,
Édgar Badía,es ESP,GK,Elche,La Liga,30,1992,21,21,1890,21,29,1.38,93,69,75.3,8,4,9,5,23.8,8,6,1,1,14.3,Matches,0,6,0,34.2,0.3,5.2,0.25,192,422,45.5,544,80,52,40,189,73.5,51.5,237,18,7.6,20,0.95,16.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,122,0,0,
Stefan Bajic,fr FRA,GK,Saint-Étienne,Ligue 1,20,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0,2,2,0,0,0,Matches,1,0,0,13.4,0.43,0.4,0.07,33,86,38.4,141,39,39.7,34.7,44,68.2,50.2,53,1,1.9,9,1.59,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,
