Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GPK,PK,PKatt,CrdY,CrdR,Gls1,Ast1,GA,GPK11,GAPK,xG,npxG,xA,npxGxA,xG11,xA11,xGxA,npxG11,npxGxA1,Sh,SoT,SoT1,Sh90,SoT90,GSh,GSoT,Dist,FK,npxGSh,GxG,npGxG,Cmp,Att,Cmp1,TotDist,PrgDist,Cmp11,Att11,Cmp111,Cmp12,Att12,Cmp112,Cmp13,Att13,Cmp113,AxA,KP,Third,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out11,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive11,PassDead11,Drib11,Sh11,Fld11,Def11,Tkl,TklW,Def3rd,Mid3rd,Att3rd,Tkl11,Tkl1,Past,Succ,Succ1,Def3rd11,Mid3rd11,Att3rd11,ShSv,Pass,TklInt,Clr,Err,Touches,DefPen,AttPen,Succ11,Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec1,Prog11,CrdY2,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won1,GA.1,GA90,SoTA,Saves,Save1,W,D,L,CS,CS1,PKA,PKsv,PKm,Save111,PSxG,PSxG1SoT,PSxG1,ps,Thr,Launch1,AvgLen,Launch111,AvgLen11,Opp,Stp,Stp1,OPA,OPA90,AvgDist
Max Aarons,eng ENG,DF,Norwich,Premier League,22,2000.0,28,27,2398,26.6,0,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,0.9,1.6,0.02,0.04,0.06,0.02,0.06,11.0,2.0,18.2,0.41,0.08,0.0,0.0,20.3,0,0.06,-0.7,-0.7,903,1204,75.0,15216.0,5823.0,463.0,513,90.3,349.0,457,76.4,81.0,185.0,43.8,0.1,14.0,42.0,31.0,7.0,82.0,913.0,291.0,2.0,144.0,17.0,40,0,0.0,0.0,0.0,690.0,259.0,255.0,134.0,762.0,24.0,270.0,2.0,7,24.0,44,46.0,32.0,1.2,23.0,1.0,3.0,2,0.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,61.0,35,44.0,17.0,0.0,36.0,65.5,19.0,95.0,27.0,205.0,112.0,35.0,0.0,57.0,105.0,61.0,0.0,1557.0,135.0,24.0,42.0,31.0,5.0,898.0,11.0,22.0,24.0,962.0,864.0,89.8,34.0,0,27,0,2,1,144,14,44,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,34,1987.0,28,28,2443,27.1,1,0,1,0,0,5,1,0.04,0.0,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,17.0,5.0,29.4,0.63,0.18,0.06,0.2,18.4,0,0.07,-0.2,-0.2,1061,1291,82.2,22806.0,7729.0,287.0,321,89.4,610.0,686,88.9,155.0,246.0,63.0,-0.2,6.0,68.0,5.0,0.0,72.0,1199.0,92.0,0.0,159.0,42.0,1,0,0.0,0.0,0.0,970.0,103.0,218.0,868.0,335.0,40.0,13.0,3.0,3,28.0,35,26.0,16.0,0.59,11.0,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,32,31.0,11.0,1.0,10.0,47.6,11.0,126.0,35.4,201.0,133.0,22.0,2.0,29.0,129.0,87.0,0.0,1568.0,204.0,26.0,70.6,12.0,1.0,990.0,0.0,14.0,10.0,1022.0,992.0,97.1,10.0,0,35,0,0,0,190,58,38,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salis Abdul Samed,gh GHA,MF,Clermont_Foot,Ligue 1,22,2000.0,27,26,2218,24.6,1,0,1,0,0,11,3,0.04,0.0,0.04,0.04,0.04,0.8,0.8,1.0,1.8,0.03,0.04,0.07,0.03,0.07,18.0,5.0,27.8,0.73,0.2,0.06,0.2,20.3,0,0.04,0.2,0.2,1401,1523,92.0,25976.0,4572.0,562.0,599,93.8,654.0,688,95.1,166.0,194.0,85.6,-1.0,13.0,70.0,9.0,0.0,71.0,1507.0,16.0,0.0,201.0,20.0,7,0,0.0,0.0,0.0,1315.0,116.0,92.0,116.0,1332.0,45.0,3.0,8.0,2,16.0,30,19.0,36.0,1.46,26.0,0.0,0.0,4,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,49.0,31,22.0,22.0,5.0,16.0,30.2,37.0,172.0,29.6,183.0,300.0,99.0,0.0,23.0,91.0,14.0,0.0,1750.0,54.0,17.0,67.6,26.0,2.0,1342.0,4.0,18.0,37.0,1465.0,1356.0,92.6,44.0,2,39,0,0,0,212,22,22,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,29,1993.0,28,28,2446,27.2,0,2,0,0,0,8,0,0.0,0.07,0.07,0.0,0.07,1.8,1.8,2.1,4.0,0.07,0.08,0.15,0.07,0.15,24.0,6.0,25.0,0.88,0.22,0.0,0.0,22.1,0,0.08,-1.8,-1.8,1104,1342,82.3,21157.0,5592.0,440.0,489,90.0,473.0,538,87.9,170.0,249.0,68.3,-0.1,19.0,105.0,15.0,6.0,108.0,1318.0,24.0,5.0,248.0,38.0,20,0,0.0,0.0,0.0,1016.0,151.0,175.0,116.0,1190.0,18.0,4.0,2.0,7,14.0,45,47.0,48.0,1.77,34.0,2.0,0.0,7,5.0,5.0,0.18,4.0,0.0,0.0,0.0,1.0,0.0,103.0,64,43.0,51.0,9.0,50.0,37.9,82.0,217.0,28.4,267.0,405.0,92.0,0.0,43.0,177.0,11.0,0.0,1675.0,21.0,11.0,61.8,36.0,3.0,1244.0,2.0,25.0,42.0,1237.0,1157.0,93.5,50.0,0,39,0,0,0,244,12,10,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Abi,fr FRA,FW,Saint-Etienne,Ligue 1,22,2000.0,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0,,0.0,0.0,2,6,33.3,24.0,0.0,1.0,2,50.0,1.0,3,33.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,1,0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.1,0.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,3.0,,0.0,0.0,9.0,0.0,4.0,0.0,12.0,8.0,66.7,2.0,0,1,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickson Abiama,ng NGA,FW,Greuther_Fuerth,Bundesliga,23,1998.0,21,5,708,7.9,0,1,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,2.2,2.2,1.1,3.3,0.28,0.14,0.42,0.28,0.42,18.0,4.0,22.2,2.29,0.51,0.0,0.0,15.6,0,0.12,-2.2,-2.2,84,132,63.6,1192.0,316.0,50.0,73,68.5,24.0,37,64.9,4.0,9.0,44.4,-0.1,7.0,6.0,6.0,0.0,13.0,123.0,9.0,1.0,40.0,1.0,2,0,0.0,0.0,0.0,81.0,32.0,19.0,25.0,71.0,19.0,0.0,3.0,2,5.0,5,9.0,19.0,2.42,11.0,0.0,0.0,2,5.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,14.0,7,3.0,7.0,4.0,2.0,18.2,9.0,38.0,21.0,21.0,78.0,82.0,0.0,6.0,22.0,7.0,0.0,252.0,9.0,29.0,35.3,7.0,1.0,140.0,7.0,35.0,11.0,321.0,159.0,49.5,47.0,0,18,0,0,0,37,22,39,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthis Abline,fr FRA,FW,Rennes,Ligue 1,19,2003.0,7,1,103,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.3,0.03,0.32,0.3,0.32,2.0,0.0,0.0,1.75,0.0,0.0,,8.6,0,0.17,-0.3,-0.3,8,10,80.0,100.0,22.0,4.0,6,66.7,4.0,4,100.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,4.0,0.0,1,0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,0.87,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,15.4,4.0,14.0,8.0,0.0,2.0,1.0,1.0,0.0,25.0,2.0,3.0,50.0,1.0,0.0,18.0,0.0,2.0,5.0,39.0,13.0,33.3,8.0,0,2,0,0,0,7,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tammy Abraham,eng ENG,FW,Roma,Serie A,24,1997.0,32,32,2706,30.1,15,4,13,2,2,9,0,0.5,0.13,0.63,0.43,0.57,18.9,17.4,3.4,20.8,0.63,0.11,0.74,0.58,0.69,85.0,30.0,35.3,2.83,1.0,0.15,0.43,12.0,2,0.2,-3.9,-4.4,447,616,72.6,6767.0,1622.0,270.0,353,76.5,121.0,174,69.5,37.0,45.0,82.2,0.6,31.0,31.0,26.0,3.0,58.0,558.0,58.0,5.0,178.0,9.0,18,0,0.0,0.0,0.0,400.0,130.0,86.0,53.0,431.0,61.0,1.0,21.0,0,9.0,33,22.0,74.0,2.46,51.0,1.0,1.0,5,3.0,11.0,0.37,5.0,0.0,1.0,3.0,2.0,0.0,33.0,22,10.0,15.0,8.0,10.0,43.5,13.0,131.0,30.7,44.0,180.0,203.0,0.0,20.0,47.0,25.0,0.0,993.0,28.0,178.0,47.8,34.0,3.0,545.0,21.0,72.0,41.0,1249.0,681.0,54.5,203.0,0,41,0,1,0,116,69,93,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Abram,pe PER,DF,Granada,La Liga,26,1996.0,8,6,560,6.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.08,0.0,0.08,0.08,0.08,2.0,0.0,0.0,0.32,0.0,0.0,,7.0,0,0.24,-0.5,-0.5,194,220,88.2,4320.0,1153.0,42.0,46,91.3,115.0,124,92.7,36.0,48.0,75.0,0.0,0.0,8.0,0.0,0.0,9.0,211.0,9.0,0.0,10.0,7.0,0,0,0.0,0.0,0.0,175.0,15.0,30.0,181.0,22.0,11.0,2.0,1.0,1,1.0,2,1.0,3.0,0.48,1.0,0.0,0.0,0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6,5.0,1.0,1.0,3.0,75.0,1.0,13.0,37.1,14.0,20.0,1.0,2.0,8.0,18.0,39.0,1.0,290.0,63.0,5.0,,0.0,0.0,156.0,0.0,2.0,0.0,187.0,182.0,97.3,1.0,0,5,0,0,1,25,12,15,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Acerbi,it ITA,DF,Lazio,Serie A,34,1988.0,25,24,2086,23.2,3,0,3,0,0,1,1,0.13,0.0,0.13,0.13,0.13,1.5,1.5,0.4,1.9,0.07,0.02,0.08,0.07,0.08,11.0,3.0,27.3,0.47,0.13,0.27,1.0,9.4,0,0.14,1.5,1.5,1500,1652,90.8,31534.0,9846.0,469.0,502,93.4,773.0,817,94.6,239.0,304.0,78.6,-0.4,5.0,105.0,5.0,0.0,76.0,1597.0,55.0,2.0,137.0,61.0,1,0,0.0,0.0,0.0,1212.0,143.0,297.0,1257.0,280.0,66.0,1.0,4.0,1,16.0,18,9.0,15.0,0.65,11.0,1.0,0.0,2,0.0,2.0,0.09,1.0,0.0,0.0,0.0,1.0,0.0,18.0,9,13.0,5.0,0.0,5.0,35.7,9.0,40.0,29.0,74.0,53.0,11.0,0.0,16.0,61.0,101.0,1.0,1872.0,286.0,16.0,75.0,3.0,0.0,1217.0,0.0,7.0,3.0,1366.0,1344.0,98.4,8.0,0,16,1,0,0,246,68,40,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
