Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,22,2000,29,27,2431,27.0,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,0.9,1.6,0.02,0.04,0.06,0.02,0.06,11,2,18.2,0.41,0.07,0.00,0.00,20.3,0,0.06,-0.7,-0.7,903,1204,75.0,15216,5823,463,513,90.3,349,457,76.4,81,185,43.8,+0.1,14,42,31,7,82,913,291,2,144,17,41,0,0,0,0,690,259,255,134,762,24,270,2,7,24,44,46,32,1.20,23,1,3,2,0,4,0.15,4,0,0,0,0,0,61,35,44,17,0,36,65.5,19,95,27.0,205,112,35,0,57,105,61,0,1557,135,24,42.0,31,5,898,11,22,24,962,864,89.8,34,0,27,0,2,1,144,14,44,24.1
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,29,29,2533,28.1,2,0,2,0,0,5,1,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,18,6,33.3,0.64,0.21,0.11,0.33,18.6,0,0.07,+0.8,+0.8,1093,1327,82.4,23435,7960,294,328,89.6,632,709,89.1,157,251,62.5,-0.2,6,70,5,0,75,1234,93,0,164,42,1,0,0,0,0,1001,105,221,896,342,40,14,3,4,28,35,26,18,0.64,11,0,3,0,3,1,0.04,0,0,1,0,0,0,47,34,33,13,1,11,45.8,13,134,35.8,212,139,23,2,30,136,89,0,1614,215,26,72.2,13,1,1012,0,14,10,1051,1021,97.1,10,0,38,0,0,0,195,58,39,59.8
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,22,2000,28,27,2308,25.6,1,0,1,0,0,11,3,0.04,0.00,0.04,0.04,0.04,0.8,0.8,1.0,1.8,0.03,0.04,0.07,0.03,0.07,18,5,27.8,0.70,0.19,0.06,0.20,20.3,0,0.04,+0.2,+0.2,1450,1580,91.8,26899,4780,582,622,93.6,673,709,94.9,176,205,85.9,-1.0,14,71,11,0,74,1562,18,1,208,20,7,0,0,0,0,1365,118,97,121,1380,48,3,8,2,16,31,21,37,1.44,27,0,0,4,2,1,0.04,1,0,0,0,0,0,51,31,24,22,5,18,31.0,40,172,28.9,186,307,102,0,23,98,15,0,1820,55,17,65.9,30,2,1387,4,19,39,1518,1406,92.6,44,2,39,0,0,0,223,23,23,50.0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,29,2536,28.2,0,2,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,1.8,1.8,2.2,4.0,0.07,0.08,0.14,0.07,0.14,24,6,25.0,0.85,0.21,0.00,0.00,22.1,0,0.08,-1.8,-1.8,1132,1381,82.0,21709,5805,452,506,89.3,481,548,87.8,175,257,68.1,-0.2,20,110,15,6,113,1356,25,5,256,39,22,0,0,0,0,1040,157,184,123,1222,18,4,2,7,14,48,48,50,1.77,36,2,0,7,5,5,0.18,4,0,0,0,1,0,106,66,44,52,10,52,38.0,85,224,28.5,271,419,95,0,45,182,11,0,1725,22,11,62.7,39,3,1285,2,26,42,1266,1183,93.4,50,0,41,0,0,0,259,12,11,52.2
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,22,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0.0,0,0,0,0,0,6,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,7.1,0,11,3,0,1,0,0,0,12,0,3,,0,0,9,0,4,0,12,8,66.7,2,0,1,0,0,0,2,1,0,100.0
Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,23,1998,22,5,716,8.0,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,2.2,2.2,1.1,3.3,0.28,0.14,0.42,0.28,0.42,18,4,22.2,2.26,0.50,0.00,0.00,15.6,0,0.12,-2.2,-2.2,84,132,63.6,1192,316,50,73,68.5,24,37,64.9,4,9,44.4,-0.1,7,6,6,0,13,123,9,1,40,1,2,0,0,0,0,81,32,19,25,71,19,0,3,2,5,5,9,19,2.42,11,0,0,2,5,2,0.25,1,0,0,1,0,0,14,7,3,7,4,2,18.2,9,38,21.0,21,78,82,0,6,22,7,0,252,9,29,35.3,7,1,140,7,35,11,321,159,49.5,47,0,18,0,0,0,37,22,39,36.1
Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,19,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,2,0,0.0,1.75,0.00,0.00,,8.6,0,0.17,-0.3,-0.3,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0.0,1,1,1,0,1,10,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,0,0,1,0,1,0.87,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,4,15.4,4,14,8,0,2,1,1,0,25,2,3,50.0,1,0,18,0,2,5,39,13,33.3,8,0,2,0,0,0,7,0,2,0.0
Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,33,33,2783,30.9,15,4,13,2,2,9,0,0.49,0.13,0.61,0.42,0.55,18.9,17.4,3.4,20.8,0.63,0.11,0.74,0.58,0.69,86,30,34.9,2.78,0.97,0.15,0.43,12.0,2,0.20,-3.9,-4.4,447,615,72.7,6767,1622,270,353,76.5,121,173,69.9,37,45,82.2,+0.6,31,31,26,3,58,557,58,5,178,9,18,0,0,0,0,399,130,86,53,430,61,1,21,0,9,33,22,74,2.46,51,1,1,5,3,11,0.37,5,0,1,3,2,0,33,22,10,15,8,10,43.5,13,130,30.7,44,180,200,0,20,47,25,0,993,28,178,47.8,34,3,545,21,73,41,1252,681,54.4,203,0,41,0,1,0,116,70,93,42.9
Luis Abram,pe PER,DF,Granada,es La Liga,26,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,2,0,0.0,0.32,0.00,0.00,,7.0,0,0.24,-0.5,-0.5,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0.0,0,8,0,0,9,211,9,0,10,7,0,0,0,0,0,175,15,30,181,22,11,2,1,1,1,2,1,3,0.48,1,0,0,0,0,1,0.16,0,0,0,1,0,0,7,6,5,1,1,3,75.0,1,13,37.1,14,20,1,2,8,18,39,1,290,63,5,,0,0,156,0,2,0,187,182,97.3,1,0,5,0,0,1,25,12,15,44.4
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,34,1988,25,24,2086,23.2,3,0,3,0,0,1,1,0.13,0.00,0.13,0.13,0.13,1.5,1.5,0.4,1.9,0.07,0.02,0.08,0.07,0.08,11,3,27.3,0.47,0.13,0.27,1.00,9.4,0,0.14,+1.5,+1.5,1500,1652,90.8,31534,9846,469,502,93.4,773,817,94.6,239,304,78.6,-0.4,5,105,5,0,76,1597,55,2,137,61,1,0,0,0,0,1212,143,297,1257,280,66,1,4,1,16,18,9,15,0.65,11,1,0,2,0,2,0.09,1,0,0,0,1,0,18,9,13,5,0,5,35.7,9,40,29.0,74,53,11,0,16,61,101,1,1872,286,16,75.0,3,0,1217,0,7,3,1366,1344,98.4,8,0,16,1,0,0,247,68,40,63.0
