Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Max Aarons,eng ENG,DF,Norwich City,Premier League,22,2000,28,27,2398,26.6,0,1,0,0,0,6,0,0,0.04,0.04,0,0.04,0.7,0.7,0.9,1.6,0.02,0.04,0.06,0.02,0.06,Matches,11,2,18.2,0.41,0.08,0,0,20.3,0,0.06,-0.7,-0.7,903,1204,75,15216,5823,463,513,90.3,349,457,76.4,81,185,43.8,0.1,14,42,31,7,82,913,291,2,144,17,40,0,0,0,0,690,259,255,134,762,24,270,2,7,24,44,46,32,1.2,23,1,3,2,0,4,0.15,4,0,0,0,0,0,61,35,44,17,0,36,65.5,19,95,27,205,112,35,0,57,105,61,0,1557,135,24,42,31,5,898,11,22,24,962,864,89.8,34,0,27,0,2,1,144,14,44,24.1
Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,34,1987,28,28,2443,27.1,1,0,1,0,0,5,1,0.04,0,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches,17,5,29.4,0.63,0.18,0.06,0.2,18.4,0,0.07,-0.2,-0.2,1061,1291,82.2,22806,7729,287,321,89.4,610,686,88.9,155,246,63,-0.2,6,68,5,0,72,1199,92,0,159,42,1,0,0,0,0,970,103,218,868,335,40,13,3,3,28,35,26,16,0.59,11,0,2,0,2,0,0,0,0,0,0,0,0,43,32,31,11,1,10,47.6,11,126,35.4,201,133,22,2,29,129,87,0,1568,204,26,70.6,12,1,990,0,14,10,1022,992,97.1,10,0,35,0,0,0,190,58,38,60.4
Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,22,2000,27,26,2218,24.6,1,0,1,0,0,11,3,0.04,0,0.04,0.04,0.04,0.8,0.8,1,1.8,0.03,0.04,0.07,0.03,0.07,Matches,18,5,27.8,0.73,0.2,0.06,0.2,20.3,0,0.04,0.2,0.2,1401,1523,92,25976,4572,562,599,93.8,654,688,95.1,166,194,85.6,-1,13,70,9,0,71,1507,16,0,201,20,7,0,0,0,0,1315,116,92,116,1332,45,3,8,2,16,30,19,36,1.46,26,0,0,4,2,1,0.04,1,0,0,0,0,0,49,31,22,22,5,16,30.2,37,172,29.6,183,300,99,0,23,91,14,0,1750,54,17,67.6,26,2,1342,4,18,37,1465,1356,92.6,44,2,39,0,0,0,212,22,22,50
Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,29,1993,28,28,2446,27.2,0,2,0,0,0,8,0,0,0.07,0.07,0,0.07,1.8,1.8,2.1,4,0.07,0.08,0.15,0.07,0.15,Matches,24,6,25,0.88,0.22,0,0,22.1,0,0.08,-1.8,-1.8,1104,1342,82.3,21157,5592,440,489,90,473,538,87.9,170,249,68.3,-0.1,19,105,15,6,108,1318,24,5,248,38,20,0,0,0,0,1016,151,175,116,1190,18,4,2,7,14,45,47,48,1.77,34,2,0,7,5,5,0.18,4,0,0,0,1,0,103,64,43,51,9,50,37.9,82,217,28.4,267,405,92,0,43,177,11,0,1675,21,11,61.8,36,3,1244,2,25,42,1237,1157,93.5,50,0,39,0,0,0,244,12,10,54.5
Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,22,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,2,6,33.3,24,0,1,2,50,1,3,33.3,0,0,,0,0,0,0,0,0,6,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.1,0,11,3,0,1,0,0,0,12,0,3,,0,0,9,0,4,0,12,8,66.7,2,0,1,0,0,0,2,1,0,100
Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,23,1998,21,5,708,7.9,0,1,0,0,0,3,0,0,0.13,0.13,0,0.13,2.2,2.2,1.1,3.3,0.28,0.14,0.42,0.28,0.42,Matches,18,4,22.2,2.29,0.51,0,0,15.6,0,0.12,-2.2,-2.2,84,132,63.6,1192,316,50,73,68.5,24,37,64.9,4,9,44.4,-0.1,7,6,6,0,13,123,9,1,40,1,2,0,0,0,0,81,32,19,25,71,19,0,3,2,5,5,9,19,2.42,11,0,0,2,5,2,0.25,1,0,0,1,0,0,14,7,3,7,4,2,18.2,9,38,21,21,78,82,0,6,22,7,0,252,9,29,35.3,7,1,140,7,35,11,321,159,49.5,47,0,18,0,0,0,37,22,39,36.1
Matthis Abline,fr FRA,FW,Rennes,Ligue 1,19,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0.3,0.03,0.32,0.3,0.32,Matches,2,0,0,1.75,0,0,,8.6,0,0.17,-0.3,-0.3,8,10,80,100,22,4,6,66.7,4,4,100,0,0,,0,1,1,1,0,1,10,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,0,0,1,0,1,0.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15.4,4,14,8,0,2,1,1,0,25,2,3,50,1,0,18,0,2,5,39,13,33.3,8,0,2,0,0,0,7,0,2,0
Tammy Abraham,eng ENG,FW,Roma,Serie A,24,1997,32,32,2706,30.1,15,4,13,2,2,9,0,0.5,0.13,0.63,0.43,0.57,18.9,17.4,3.4,20.8,0.63,0.11,0.74,0.58,0.69,Matches,85,30,35.3,2.83,1,0.15,0.43,12,2,0.2,-3.9,-4.4,447,616,72.6,6767,1622,270,353,76.5,121,174,69.5,37,45,82.2,0.6,31,31,26,3,58,558,58,5,178,9,18,0,0,0,0,400,130,86,53,431,61,1,21,0,9,33,22,74,2.46,51,1,1,5,3,11,0.37,5,0,1,3,2,0,33,22,10,15,8,10,43.5,13,131,30.7,44,180,203,0,20,47,25,0,993,28,178,47.8,34,3,545,21,72,41,1249,681,54.5,203,0,41,0,1,0,116,69,93,42.6
Luis Abram,pe PER,DF,Granada,La Liga,26,1996,8,6,560,6.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.08,0,0.08,0.08,0.08,Matches,2,0,0,0.32,0,0,,7,0,0.24,-0.5,-0.5,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75,0,0,8,0,0,9,211,9,0,10,7,0,0,0,0,0,175,15,30,181,22,11,2,1,1,1,2,1,3,0.48,1,0,0,0,0,1,0.16,0,0,0,1,0,0,7,6,5,1,1,3,75,1,13,37.1,14,20,1,2,8,18,39,1,290,63,5,,0,0,156,0,2,0,187,182,97.3,1,0,5,0,0,1,25,12,15,44.4
Francesco Acerbi,it ITA,DF,Lazio,Serie A,34,1988,25,24,2086,23.2,3,0,3,0,0,1,1,0.13,0,0.13,0.13,0.13,1.5,1.5,0.4,1.9,0.07,0.02,0.08,0.07,0.08,Matches,11,3,27.3,0.47,0.13,0.27,1,9.4,0,0.14,1.5,1.5,1500,1652,90.8,31534,9846,469,502,93.4,773,817,94.6,239,304,78.6,-0.4,5,105,5,0,76,1597,55,2,137,61,1,0,0,0,0,1212,143,297,1257,280,66,1,4,1,16,18,9,15,0.65,11,1,0,2,0,2,0.09,1,0,0,0,1,0,18,9,13,5,0,5,35.7,9,40,29,74,53,11,0,16,61,101,1,1872,286,16,75,3,0,1217,0,7,3,1366,1344,98.4,8,0,16,1,0,0,246,68,40,63
Ragnar Ache,de GER,FW,Eint Frankfurt,Bundesliga,23,1998,11,0,175,1.9,0,1,0,0,0,0,0,0,0.51,0.51,0,0.51,0.4,0.4,0.3,0.7,0.23,0.14,0.37,0.23,0.37,Matches,9,1,11.1,4.63,0.51,0,0,14.6,0,0.05,-0.4,-0.4,31,58,53.4,466,90,13,24,54.2,15,25,60,1,3,33.3,0.7,2,1,2,2,1,56,2,0,23,1,6,0,0,0,0,30,14,14,9,31,3,2,0,1,2,3,5,5,2.57,3,0,1,0,0,1,0.51,0,0,0,1,0,0,2,2,0,1,1,2,66.7,1,14,30.4,5,18,23,0,3,2,1,0,103,1,17,66.7,5,0,59,5,10,7,131,77,58.8,23,0,5,0,0,0,13,17,8,68
Marcos Acuña,ar ARG,DF,Sevilla,La Liga,30,1991,25,20,1726,19.2,1,3,1,0,0,6,0,0.05,0.16,0.21,0.05,0.21,1.3,1.3,2.7,4,0.07,0.14,0.21,0.07,0.21,Matches,12,4,33.3,0.63,0.21,0.08,0.25,21,1,0.11,-0.3,-0.3,1181,1486,79.5,24322,9021,453,482,94,507,598,84.8,212,365,58.1,0.3,37,74,36,21,91,1227,259,2,125,77,100,32,1,26,0,858,241,387,1105,138,37,186,2,4,23,44,35,59,3.08,39,14,1,3,0,3,0.16,1,2,0,0,0,0,44,28,24,10,10,18,72,7,72,33.6,90,87,37,0,23,69,27,0,1671,44,16,76,39,3,1119,3,23,23,1181,1119,94.8,57,0,30,0,0,0,161,23,33,41.1
Che Adams,sct SCO,FW,Southampton,Premier League,25,1996,25,21,1823,20.3,7,3,7,0,0,0,0,0.35,0.15,0.49,0.35,0.49,6.3,6.3,2.5,8.8,0.31,0.13,0.44,0.31,0.44,Matches,44,22,50,2.17,1.09,0.16,0.32,13.2,0,0.14,0.7,0.7,284,414,68.6,4349,872,161,208,77.4,84,113,74.3,23,44,52.3,0.5,21,16,11,1,28,398,16,3,122,9,10,0,0,0,0,264,87,63,37,302,21,1,14,2,9,21,25,45,2.22,28,0,1,11,1,4,0.2,3,0,0,0,0,1,14,8,3,6,5,2,16.7,10,79,27.2,36,112,142,0,20,23,14,0,675,26,91,34.5,13,0,415,10,46,46,915,465,50.8,137,0,28,0,0,0,113,49,101,32.7
Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,23,1999,21,11,1223,13.6,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0.2,0.2,0.8,1,0.01,0.06,0.07,0.01,0.07,Matches,2,0,0,0.15,0,0,,19.4,0,0.08,-0.2,-0.2,732,844,86.7,12095,2953,365,398,91.7,279,312,89.4,66,92,71.7,0.2,8,67,8,0,50,807,37,1,129,6,3,0,0,0,0,665,80,99,121,650,38,14,4,4,9,21,20,24,1.77,22,0,1,0,0,4,0.29,4,0,0,0,0,0,24,14,5,16,3,8,28.6,20,92,31,84,179,34,0,26,47,18,1,977,25,13,46.2,6,0,662,3,8,14,745,688,92.3,15,0,17,0,0,0,138,18,10,64.3
